"","content","评论时段"
"72","他不想粉丝老花钱他现在胖了他是射手保护协会会长他现在有着脱坑三招仙声大仙不闹好多节目他写小说，主角游戏ID不羡仙他会和仙友说好好学习他说十年后哪怕自己不直播了，仙友和朋友聊天时会发现，你当年也看大仙！他以前叫阿发，现在叫张大仙他一直在努力他是我们最好的张大仙！","2017-2019"
"74","张大仙，撒浪嘿呦，祝大仙千千万订阅，祝今天生日的妖怪，生日快乐。","2017-2019"
"75","居然10万?了！从来没有想过非专业歌手的我发歌能享受这一刻呀！非常非常感谢大家的支持?我！太！幸！福！了！仙友太感人了[流泪]","2017-2019"
"76","相隔两个时空自己与自己的对话自己与自己的和解我们都有过想要回头抱抱那个曾经的自己的瞬间小王小王不慌不忙","2020及以后"
"77","晴天总比雨天多。——毛不易","2020及以后"
"78","如果我在角落里遇见她，我会告诉她:其实你很棒啊，要自信、勇敢，可我不会再遇见她；如果我在角落里遇见他，我会说出那句话，可我也不会再遇见他。","2020及以后"
"79","毛毛的新歌小王，舒缓的旋律没有什么起伏，不刻意收敛，也不哗众取宠，像一股清流从心上缓缓流过，毛毛自然而独特的为尾音，责是心里的小石头，轻轻敲打在心间，其实及其像极了他的个性.","2020及以后"
"80","小王小王我是小王再说一遍我是小王","2020及以后"
"81","啊啊啊啊啊啊斗牛！太炸了！都去看视频啊！一得要看视频啊！这是什么神仙表演！","2020及以后"
"82","""主歌描绘了一场传统完整的斗牛赛，参与包括：主斗牛士，长矛手，花镖手，助理斗牛士。过程则是：1.	请牛出栏，是一项非常庄严重要的仪式。2.	助理斗牛士先上场，负责逗引、激发公牛的怒气，令公牛绕场奔跑。3.	长矛手次登场，把矛插入公牛的脊背，令牛放血，牛更加被激怒，也更加危险。""","2020及以后"
"83","“华晨宇只会飙高音”ET：不好意思，人家的低音你也学不来╮(￣▽￣)╭","2020及以后"
"84","他从来不救人。他只相授他天生的直觉、灵感。然后引你，渡你。一顰一动，一神一思。“神仙”二字也无以形容。也正因为他只是凡人，一切才更弥足珍贵。","2020及以后"
"85","大家记得去看视频！！！真的超绝他的台风和现场的互动感！！！有缘可以现场感受下我两年前第一次在全国最大的体育场鸟巢听到的时候听到他一开口真的震住了。就是我想到他厉害但没想到他那么厉害！！当然19，20年的他更厉害惹～谢谢你跟我们分享你的作品@华晨宇yu期待华晨宇更多新歌的发行?","2020及以后"
"86","《想见你》中许光汉用手指捂住眼睛又拿开时笑容满面的样子实在是帅惨了","2017-2019"
"87","看完《想见你》，突然觉得这首歌有点上头","2017-2019"
"88","有谁是〈想见你〉找过来的！[爱心][爱心][示爱][示爱]","2017-2019"
"89","“从来没有王诠胜，一直都是李子维。”","2017-2019"
"90","从想见你来的听到这首歌的时候，也像陈韵如一样忍不住跟着哼唱，只是抬起头来没有李子维在我面前所以我也想暂时把你的眼睛闭起来，把你化进我的胸怀[爱心]加油啊哥哥，以后也要继续发光[爱心][爱心]","2017-2019"
"91","我也常常向世界对抗，关于朋友，关于家人，关于其他。大家口中的成年人的世故也好，人之常态也罢，少了几分能力去接受。找个角落躲起来，去想去思考去悲伤，只是因为有些事情自己才会懂吧。","2020及以后"
"92","“找对象就要找那种看不上你的你就可劲儿追一但他回头你就是他的命.”---小王","2020及以后"
"93","希望所有烦恼都离王维家先生远一点","2020及以后"
"94","一直在想小王日记是什么样子，以为可能是小王自己的内心独白，没想到是倾尽所有的温暖。","2020及以后"
"95","最初他以歌曲记录生活，后来他走上舞台，把自己的生活唱给听众，安慰了茫茫人海无数心灵。现在听他的歌成了我们的生活，而他也继续唱着自己的故事。毛不易只要你唱，我们就一直听。","2020及以后"
"96","神树是末日审判降临是神的庇佑","2020及以后"
"97","“降临与神树，一个鸿蒙之初，一个末日之后，互为阴阳，毁灭后的重生，重生后的更迭，就像一对双生子一般，循环往复，生生不息。”","2020及以后"
"98","毁灭孕育重生［神树］明明有着星系陨落般的荒芜感却澎湃着向死而生的希望［降临］既有辰曦携带万顷福祉自天角倾泻的圣洁肃穆又有裹挟罪与罚的禁忌感，想到宫廷礼乐又想到唱诗班该怎么形容这种惊艳的宇宙感呢？当一个人思想格局和实力都光速成长的时候，他的创作简直像四维空间在三维世界的投影","2020及以后"
"99","《神树》《降临》阴阳双生！我觉得超好听","2020及以后"
"100","以生命之始，奏圣洁之乐。以世间之爱，重塑新生，重宥痛错。“laviahviahvi”古老的歌谣，悠悠飘远，穿过密林，迎着朝阳，缓缓盛沐这片大地上每一个生命，予以祈佑。","2020及以后"
"101","Sayit'sanewworld沉醉这风光讲究，明暗是假象告别这星光黯淡，来去是假象坐拥这掌声散去，起落是假象笑对这冷眼观望，天地是假象","2020及以后"
"103","华晨宇《新世界》歌词亦人生。沉醉风光讲究，告别星光黯淡；坐拥掌声散去，笑对冷眼观望。开场有多喧闹，结尾就有多寂寥，?不如下山，笑看万物是假象。转身矗立山峰的时候，即是新世界到来。ET开启疯狂打榜的技能吧！！！快来为《歌手·当打之年》最爱的歌助力《歌手·当打之年》线上投","2020及以后"
"104","毁灭（《神树》）后重生（《降临》）进入新世界（《新世界》）@华晨宇yu?bro厉害","2020及以后"
"105","“站上舞台、手握话筒的那一刻，他就成为了主宰音乐世界的王者，仿佛不止音乐，连现场的灯光也都一起掌控。”-欢迎来到华晨宇创造的新世界-@华晨宇yu","2020及以后"
"106","听说来这首歌每日打卡的人，都能得到幸福?[爱心]","2017-2019"
"107","虽然歌词还是一样的，不同于原版，原版真的给人空荡荡的感觉，是没有相遇之前，这个版本的却感觉就算一脚踏空也有彼此依靠，是相遇之后。不知道是不是我的错觉，总觉得散发出了一种恋爱的酸臭味，但是都很好听！高举我丞飞大旗！丞哥我是你的小迷妹啊啊！希望我们都能像对方一样勇敢！","2017-2019"
"108","不是昂……你们知道我一个男的把撒野全看完了是什么感觉嘛？！[生病][生病]","2017-2019"
"109","“我有句话还是想正式说一下，虽然我好像已经说过一次了。”“我很喜欢你，”顾飞说，“我会一直喜欢到你不再需要我喜欢你为止。”","2017-2019"
"110","“我不喜欢那个小破城市，也看不上钢厂那个破地方的人，”蒋丞说，“但我还是很舍不得那里，那个城市，那个钢厂，因为我在那儿把你挑出来了。”","2017-2019"
"111","这个时候肯定都睡了没人给我点赞了，那么我来了，大家好，我是简弘亦，你们是我的男朋友和女朋友[奸笑]","早期"
"112","给我发过私信要求唱这首歌的男朋友和女朋友快来认领一下，高冷的我已经满足了你的愿望[圣诞]","早期"
"113","分手后第二年，我依然单身，她发来一条信息：你看过，抚摸过我身体的每一寸肌肤，确唯独看不到我穿婚纱的样子。那一个晚上我抱着手机，看着那条信息，整整抽了一包的烟，最后回复了一句：一定要过得比我好，只是不要再让我知道了。","2017-2019"
"114","我对你的感觉大概就是?就算我们很久不说话不聊天?或者哪天直接就没了任何联系?我还是会觉得你是我非常非常重要的人","2017-2019"
"115","人这辈子最怕突然听懂一些歌词","2017-2019"
"116","我的妈妈她有点世俗，有点贪小便宜，有点做作，甚至有时候有点虚假，但她却努力教我所有美好的品质，她想我成为好的人，一切的不堪她都一个人承受，只是因为我是她的女儿。","2017-2019"
"117","你传的照片，是我离家时的床铺你说好久了，屋子都没人住我总有办法打断你的叮嘱多数是不耐烦，少数是想哭我总说自己要减轻你的辛苦要自己去闯自己的路以为自己足够光彩夺目却被你一眼看穿艰辛苦楚传说上帝无法亲力亲为所有守护派仙女下凡，做人间的公主从此，一切美好，在柴米油盐中驻足","2017-2019"
"118","海味山珍比不过一荤一素油盐酱醋是她细密的叮嘱她用双手编织你远行的路然后笑着送别，站成一棵树她知道你受万人瞩目也知道你多辛苦好好睡吧，让她亲亲你渗出的泪珠别不开心，她喜欢你嘴角上扬的弧度","2017-2019"
"119","毛不易真是一个哲学家，《奇遇人生》里面说了好多经典语录：1.四十岁就是新的二十岁2.内向不是性格的缺陷只是性格的一种3.人的本质不是喜欢钱，而是钱予人的自由4.不想说的话我可以不说，但是我尽量保证说出的话都是真的5.快乐是赏赐，悲伤是考验，不快乐也不悲伤，是生活的常态???","2017-2019"
"120","我慢慢地、慢慢地了解到，所谓父女母子一场，只不过意味着，你和他的缘分就是今生今世不断地在目送他的背影渐行渐远。你站在小路的这一端，看着他逐渐消失在小路转弯的地方，而且，他用背影默默告诉你：不必追。——龙应台目送","2017-2019"
"121","上一秒还在似孩童般唱着儿歌的他，下一秒就可以暴躁地尖叫“shutup”上一秒还沉浸在佛经诵读的氛围中，下一秒就可以充斥着“任我主宰”的气势华晨宇曾说过一句话：“当我的音乐能够影响到你，能引起你的思考，这就是艺术。”“我带着那抹红，见证我所有的光辉时分”“为家人而战”华晨宇我们一直在","2020及以后"
"122","钢琴伴奏加了黑胶唱片的效果器，带有孩子气的唱腔营造诡异恐怖氛围，木吉他Riff随后插入，还运用了古筝、套鼓，用人声模仿埙的音色搭配六字箴言（绝对的神来之笔）Bass和军鼓到后面戛然而止，随木吉他着独奏仿佛进入无尽的深渊迷失又绝望；军鼓伴随华晨宇撕裂怒吼和电吉他回收音效仿佛七重人格涅槃重生","2020及以后"
"123","七皇的破立太极致了。诡谲粗砺的失真童声、克制隐忍的吉他riff、委婉曲折的过渡古筝、天然质朴的人声拟埙、恣意张狂的躁动鼓点、喑哑颓丧的殉道念白、激进疯癫的宣泄嘶吼……说是七重人格，每个歌迷的理解也全然不同，我想大概跟小华是个绝妙的情绪容器分不开吧_(:з」∠)_。","2020及以后"
"124","我认为这首歌确实全场最佳(不是粉)","2020及以后"
"125","郑楠：花花我们要不要改一下旋律，做一点简单的，大众都朗朗上口的音乐？华晨宇：SHUTUP！！！","2020及以后"
"126","这份爱会不会会不会让你也好疲惫","2020及以后"
"127","希望大家都能被爱的人温柔以待","2020及以后"
"128","“梦里出现的人，到底是谁在想谁”","2020及以后"
"129","仔细想一想我长得不出众不高不阳光学习不好脏话连篇多疑敏感喜怒无常怎么可能会有人无条件站在我这边","2020及以后"
"130","补课费好贵题目好难压力好大我想睡觉我想休息可我更想考上好学校","2020及以后"
"131","昨天去见前任了他盖着白布好像不想见我","2020及以后"
"132","rap部分是我，副歌部分是高旭，歌词里为了美观没有标注，看大家都分不清，稍后会标注上","2020及以后"
"133","因为你错过了，别人才会遇见，因为别人错过了，你才会得到。","2020及以后"
"134","果然男人只有在土里才会安分吗","2020及以后"
"135","昨天和喜欢的男孩子亲嘴了","2020及以后"
"136","一起吹过晚风的人大概会记得久一些","2020及以后"
"137","当初你也是那个习惯把太阳画在纸的角上的小屁孩吧","2020及以后"
"138","我们结婚吧我搬到你家你给我买个小点的戒指吧我不要车不要房不要彩礼结婚证也很便宜我是真的很想嫁给你","2020及以后"
"139","冲10w+再发一首超级好听的歌[憨笑]","2020及以后"
"140","人如果没有梦想，那跟咸鱼有什么区别啊？","2020及以后"
"141","“丘比特为什么蒙着眼?”“因为爱情无关性别”","2020及以后"
"142","今天被暗恋的男孩摸脸颊了！你们能体会那种仿佛要瞬间螺旋升天的喜悦吗!因为今天和他一起去参加同学的生日party，站在角落看着他，注意到我后直接跑来糊我的脸。丝滑的奶油和他的双手抹在我脸上，大脑瞬间死机。一个1米5的小女生就这么被一个1米7的男孩子弯下腰来摸到了脸。快要幸福死啦","2020及以后"
"143","她模仿我穿衣风格模仿我写字字体模仿我的性格模仿我的一切但是她模仿不了我一顿八碗饭","2020及以后"
"144","我突然记起一次月考听力–Hello，Jane!Whatareyoudoing?–I'mwaitingforMike.Whataboutyou，John?–Iamwaitingforyou","2020及以后"
"145","希望每个人都可以跟自己最爱的人，感受最浪漫的场景。","2020及以后"
"146","这是我觉得最好的网红模式，有内涵，有文化，能做出贡献[强][强][强]","2020及以后"
"147","高原的风，带来了吉祥的礼物，那位来自高原的少年，是风，也是自由的使者，他带着微风吹向祖国的山川湖海、吹向你我心灵。勇敢的少年啊，请看遍这个世界的美好，你一定会创造无限奇迹。让我们一起聆听高原少年的歌声，音乐的力量会给予你我天空下的那份温暖。?","2020及以后"
"148","格聂神山出来的孩子，加油！！！[拜]","2020及以后"
"149","哇塞！这是那个丁真的歌吗？着实让人惊艳啊！不是说他除了脸能看，什么都不会吗？个人觉得这很不错啊","2020及以后"
"150","有一说一，虽然我对丁真无感，但这首歌是真的好听[强]","2020及以后"
"151","下次遇见喜欢的人记得要勇敢","2020及以后"
"152","总会有个人陪你过未来每一个夏天。","2020及以后"
"153","吴念慈我不知道这次你还愿不愿意回来我只是想说我真的很爱你可能真的是我不配生活真的一直在和我开玩笑而我也一直都达不到你的预期这是你发给我让我听的歌现在也是我最喜欢的歌现在我也只剩这首歌了吧。","2020及以后"
"154","一八年的夏天，是全网公认最好的夏天","2020及以后"
"155","（一坨歌手爬过）寡某祝大家521快乐","2020及以后"
"156","希望你是回忆里那个永远不长胖的人～","2017-2019"
"157","“所以你宁愿错过也不愿主动，对吗？”","2020及以后"
"158","Ilikeyou，butjustlikeyou[爱心]","2017-2019"
"159","这个世界病了，把渣当酷，把深情叫舔。","2020及以后"
"160","这首歌真奇怪，像告白又像告别","2020及以后"
"161","听起来可真是，一口德芙一口烟","2020及以后"
"162","呜呜呜来了来了！！！我原地起飞！！！王嘉尔??林俊杰，两位的神仙合作终于出生了！期待很久了！！！！！???是约定好的中文歌呜呜呜，大?就是我努力的动力吖，我还能继续背书！?又是新曲风，嘉的歌永远带给我惊喜???当我戴上耳机听歌，我的精神和身体就已分离，旁若无人的地步(hhh）快落","2020及以后"
"163","都2021年了，江南的风依然在吹，我们也依然爱听JJ。从《她说》到《可惜没如果》再《过》，悲伤的情歌，总是能分散深夜的落寞。","2020及以后"
"164","王嘉尔的声音用什么烟保养的？","2020及以后"
"165","Jacksonwang:Idon'tplayaroundnotthatkindofguy.我不是那种随便玩玩的人。[拜][拜][拜]???????????","2020及以后"
"166","毕竟一生很短少有圆满","2020及以后"
"167","你一定不懂那种看清了还想继续喜欢的感觉","2020及以后"
"168","我总感觉这是一个女孩子唱给另外一个女孩子的歌[呆]","2020及以后"
"169","阿月和星野相识于光遇有天星野上线告诉阿月他要退游了因为生病了很严重的病会暴躁会摔东西再后来阿月知道了他浑身插满了管子肝脏破裂需要手术但是找不到合适的肝源2020.12.3123:46星野抢救无效不幸去世遵逝者遗愿葬于广西北海写给阿月的备忘录里有一句如果有下辈子就带你去看星星吧","2020及以后"
"170","阿拉斯加湾，是世界9大著名海湾之一，海面呈现两个颜色，由于密度关系，两片海不能融为一体","2020及以后"
"171","如果有妹子对我唱这首歌我一定娶她[牵手]","早期"
"172","谁说男生不可以有少女情怀呢？我最大的梦想是以后能生个小公主。我要把她打扮得漂漂亮亮的，看其他小男孩屁颠屁颠地追着我女儿跑。[大哭]","早期"
"173","我天词曲都是林一峰，他心里一定住着一个小公主","早期"
"174","王心凌的honey孙燕姿的honeyhoney萧亚轩的honeyhoneyhoney这三首歌都不错。","早期"
"175","异地恋金曲排行榜第三名。[大哭]","早期"
"176","喜欢说唱的女生应该都很正吧","2017-2019"
"177","如果可以我只要一杯清水一片面包一枝花如果再奢侈些我希望水是你倒的面包是你切的花是你送的","2017-2019"
"178","现代人太着急了看一眼照片听一段语音道两天晚安就喜欢上了不过讨厌得也很快喜欢了两三年最后因为一个眼神一句话不到一秒就决定放弃了多情又冷酷也挺好的速战速决总是好过暧昧不清就只怕杀伐决断的遇到了藕断丝连情意绵绵的遇上了见异思迁这世上赢的多半还是薄情人。","2017-2019"
"179","看到你们都爱听很是开心[爱心]","2017-2019"
"180","你让我如此着迷没有什么不可以?","2017-2019"
"181","我发现庾澄庆的声音和哈林好像！！！","早期"
"182","对着基友唱了一晚上，他怎么没反应，表达的不够直接吗？[呆][呆]","早期"
"183","每次通知栏显示赞了我评论我都要重温一遍这首歌。。。","早期"
"184","封面把鼠标都截进去了。。。","早期"
"185","初中喜欢这首歌，对同学说谁要是对我唱这首歌表白，我一定会答应的。结果真的有一个男生一直偷偷练这首歌。中考时他借了同学的P3，后来同学告诉我他一直单曲循环这首歌。后来的后来，他真的对我唱了这首歌，不过是喊我一起唱。如今，他还是单身，但我们是永远不可能了。再好的人，不适合也是枉然。","早期"
"186","昨天晚上朋友请去ktv，每人都叫了个妞，坐在我身边的那个长得挺漂亮的，中间她摸着我的手玩弄着，一起唱了几首歌，结束时她的脸贴着我的脸说了一句话：！挣点钱不容易，以后这种地方不要来了，看你手上的茧，省点钱给嫂子孩子吧。","2017-2019"
"187","整天评论就是，暗恋，热恋，绝恋，不像我清新脱俗，提前祝大家新年快乐。","早期"
"188","单身是会上瘾的，一个人时间长了，久而久之就会变成习惯。会懒得恋爱，对爱情越来越挑剔，对朋友越来越重视，比以前更珍惜亲情，更爱父母，会越来越喜欢听歌，对所有的节日大多没什么期待，觉得日子过得无拘无束自由自在，给单身的自己转一个～","2017-2019"
"189","同样是过往华健大哥唱出了释怀和些许自嘲小刚的演绎版本却是内疚和无法忘怀同样精彩可能是先入为主这首歌还是喜欢周华健的版本[亲亲]","早期"
"190","小刚，李宗盛，都是才子，唱歌写歌都是一流","早期"
"191","记得第一封情书是上初二的时候。傻傻地我竟将收到的情书都交给了妈妈，而我妈并没有去找这些孩子的家长或老师，而是把它们保存了下来……特别感谢我妈，也特别感激那些个小屁孩儿，谢谢他们在最初情窦初开的年华里，曾经喜欢过那么傻的一个傻姑娘，给她的一生留下了如此纯洁美好的回忆。","早期"
"192","今天坐电梯，电梯上一个人打开一包巧克力，每个人分一个，没给我，我就伸手要了一个，他愣了一会给了我一个，到了5楼，他们都下了，我才知道他们原来都认识，哎呀卧槽！我竟然伸手要了一个！[呆]","早期"
"193","妈的，没写过情书的举手","早期"
"194","找不到人表白了，祖国我爱你！","早期"
"195","看着你们一个个秀情书...我又默默的捧起了我的英语书...[口罩]","早期"
"196","这首歌让你们成功恋爱了的有多少人？？","2017-2019"
"197","第一次听这首歌也正好遇见了同样爱篮球的你，我178你188，你第一次说喜欢我是用这首歌向我表白，哈哈哈哈哈哈哈，谢谢你爱我就像我爱你。对，我们都是男生。","2017-2019"
